dranghek,dranghekken
opvijzelen,opgevijzeld
opvijzelen,opvijzelden
opvijzelen,opvijzelde
kiemvrij,kiemvrijer
achterland,achterlanden
borstrok,borstrokken
inhaalverbod,inhaalverboden
geloofsbrief,geloofsbrieven
optimist,optimisten
plankenvloer,plankenvloeren
achteruitdeinzen,achteruitdeinsde
achteruitdeinzen,achteruitdeinst
achteruitdeinzen,achteruitdeinzende
achteruitdeinzen,achteruitdeinzend
achteruitdeinzen,achteruitgedeinsd
spanwijdte,spanwijdten
spanwijdte,spanwijdtes
carrière,carrières
carrière,carriÈre
behang,behangetjes
behang,behangetje
verliefdheid,verliefdheidje
verliefdheid,verliefdheden
stuurhut,stuurhutten
veer,veertjes
veer,veertje
sint-bernardshond,sint-bernardshonden
hospitium,hospitiums
hospitium,hospitia
eilander,eilanders
sleuf,sleuven
veeg,vegere
woningcorporatie,woningcorporaties
autofabrikant,autofabrikanten
veem,vemen
veen,venen
Tunesiër,tunesiër
Tunesiër,tunesiËr
Tunesiër,tunesiërs
tussenruimte,tussenruimtes
tussenruimte,tussenruimten
Labourpartij,labourpartij
RIVO,rivo
EG-verdrag,eg-verdrag
EG-verdrag,eg-verdragen
onderpand,onderpanden
actualiteit,actualiteiten
metselaar,metselaars
blonde,blonden
afgooien,afgooiend
afgooien,afgooide
afgooien,afgegooid
afgooien,afgooi
afgooien,afgooiden
afgooien,afgooit
gewoon,gewoonst
gewoon,gewoner
rondgaan,rondgingen
rondgaan,rondging
rondgaan,rondgaat
rondgaan,rondga
rondgaan,rondgegaan
rondgaan,rondgegane
rondgaan,rondgaand
kettingreactie,kettingreacties
besneeuwen,besneeuwden
besneeuwen,besneeuwende
besneeuwen,besneeuw
besneeuwen,besneeuwt
beenbreuk,beenbreuken
distinctie,distincties
parochie,parochiËn
parochie,parochies
parochie,parochietje
parochie,parochiën
parochie,parochietjes
racistisch,racistischer
racistisch,racistischere
kooiker,kooikers
doseren,doserend
doseren,gedoseerd
doseren,doseert
doseren,doseerde
doseren,doseer
doseren,doseerden
smartegeld,smartegelden
nachtzoen,nachtzoenen
spit,spitje
spit,speetje
spit,spitjes
spit,speetjes
bedrijvig,bedrijviger
bedrijvig,bedrijvigst
bolsjewiek,bolsjewieken
linguïstisch,linguÏstisch
luitenant-ter-zee,luitenants-ter-zee
vastbijten,vastbijtend
vastbijten,vastbeten
vastbijten,vastbeet
vastbijten,vastgebeten
vastbijten,vastbijt
marktmechanisme,marktmechanismen
spie,spietje
spie,spietjes
spie,spieën
spin,spinnetjes
spin,spinnetje
spil,spillen
spil,spilletje
spil,spilletjes
veronderstelling,veronderstellingen
appelstroop,appelstropen
ongemotiveerd,ongemotiveerder
ongemotiveerd,ongemotiveerdste
afboeken,afgeboekt
afboeken,afboekt
afboeken,afboekten
afboeken,afboekte
afboeken,afboekende
afboeken,afboek
scharenslijper,scharenslijpers
gewis,gewisser
rondleiding,rondleidingen
plezierboot,plezierboten
moffelen,gemoffeld
moffelen,moffelde
moffelen,moffelden
moffelen,moffelt
moffelen,moffel
literatuurprijs,literatuurprijzen
vergen,gevergd
vergen,vergend
vergen,vergt
vergen,vergden
vergen,vergde
vergen,verg
domheid,domheden
Tsjetsjenië,tsjetsjenië
hond,hondjes
hond,hondje
hond,honden
verafgoden,verafgodend
verafgoden,verafgoodt
verafgoden,verafgood
verafgoden,verafgoodden
verafgoden,verafgoodde
huzarensalade,huzarensalades
Thailands,thailands
overspannen,overspannener
overspannen,overspannend
overspannen,overspant
overspannen,overspande
overspannen,overspan
overspannen,overspanden
natuuronderzoeker,natuuronderzoekers
zadeltas,zadeltassen
museumstuk,museumstukken
split,splitten
plaats,plaatsjes
onderlijnen,onderlijn
onderlijnen,onderlijnden
onderlijnen,onderlijnd
onderlijnen,onderlijnend
onderlijnen,onderlijnt
onderlijnen,onderlijnende
voltrekken,voltrekkend
voltrekken,voltrek
voltrekken,voltrok
voltrekken,voltrekt
voltrekken,voltrokken
promille,promillen
boiler,boilers
verkeersader,verkeersaders
festijn,festijnen
eskader,eskaders
eskader,eskadertje
amfitheater,amfitheaters
keuterboer,keuterboeren
academie,academies
academie,academiën
voorlichtingsbureau,voorlichtingsbureaus
zitje,zitjes
plaque,plaques
klimpartij,klimpartijen
waddenkust,waddenkusten
bladzijde|bladzij,bladzijden
Galicië,galiciË
Galicië,galicië
gedragsnorm,gedragsnormen
lasso,lassootje
hal,hallen
hal,halletje
hal,halletjes
ham,hammen
ham,hammetje
ham,hammetjes
ganzenveer,ganzenveren
schiereiland,schiereilandje
schiereiland,schiereilanden
oogsten,oogstten
oogsten,oogstte
oogsten,oogstend
oogsten,geoogst
vredesconferentie,vredesconferenties
afketsen,afketste
afketsen,afketst
afketsen,afketsten
afketsen,afgeketst
afketsen,afkets
afketsen,afketsend
beloven,beloofd
beloven,beloof
beloven,belooft
beloven,beloofden
beloven,belovend
hanekam,hanekammen
clusteren,clusterden
clusteren,clusterende
clusteren,clusterde
clusteren,geclusterd
clusteren,clustert
clusteren,clusterend
generatiekloof,generatiekloven
godgeleerde,godgeleerden
bouillonblokje,bouillonblokjes
bleekneusje,bleekneusjes
gade,gaden
communicatiekanaal,communicatiekanalen
vuurrood,vuurroder
Canadese,canadesen
sjokken,sjokt
sjokken,sjok
sjokken,sjokte
sjokken,gesjokte
sjokken,sjokten
sjokken,gesjokt
sjokken,sjokkend
Pentagon,pentagon
afstandschot,afstandschoten
Peruaan,peruanen
Peruaan,peruaan
gasleiding,gasleidingen
kooien,gekooid
kooien,kooit
kooien,kooide
kooien,kooiden
dansvorm,dansvormen
bosje,bosjes
inbedding,inbeddingen
billboard,billboards
stangen,stangt
stangen,gestangd
stangen,gestangde
stangen,stangde
verdenken,verdenk
verdenken,verdenkend
verdenken,verdenkt
verdenken,verdenkende
Comorees,comorezen
schedeldak,schedeldaken
terugspringen,terugsprongen
terugspringen,terugspringend
terugspringen,terugsprong
terugspringen,terugspring
terugspringen,terugspringt
terugspringen,teruggesprongen
aanhanger,aanhangers
uitvegen,uitveegden
uitvegen,uitveegde
uitvegen,uitveeg
uitvegen,uitveegt
uitvegen,uitgeveegd
uitvegen,uitvegend
borstwering,borstweringen
fractiespecialist,fractiespecialisten
reddingssloep,reddingssloepen
uitvoering,uitvoerinkje
uitvoering,uitvoeringen
uitvoering,uitvoerinkjes
annulering,annuleringen
legeraalmoezenier,legeraalmoezeniers
aanhangen,aangehangen
aanhangen,aanhangt
aanhangen,aanhing
aanhangen,aanhingen
aanhangen,aanhangend
vredesproces,vredesprocessen
sleutelhanger,sleutelhangers
massabetoging,massabetogingen
opkuisen,opkuis
opkuisen,opgekuist
opkuisen,opkuisten
opkuisen,opkuist
opkuisen,opkuisend
opkuisen,opkuiste
opkuisen,opkuisende
schroothoop,schroothopen
binden,bind
binden,bindt
niet-werkende,niet-werkenden
ontsluieren,ontsluierden
ontsluieren,ontsluiert
ontsluieren,ontsluierend
ontsluieren,ontsluier
ontsluieren,ontsluierende
ontsluieren,ontsluierd
bekeerling,bekeerlingen
conditioneren,conditioneert
conditioneren,conditionerend
conditioneren,conditioneer
conditioneren,conditioneerde
conditioneren,conditioneerden
proefwerk,proefwerken
ontgoochelen,ontgoochel
ontgoochelen,ontgoochelden
ontgoochelen,ontgoochelend
ontgoochelen,ontgoochelt
geruis,geruisen
ader,adertjes
ader,aderen
ader,adertje
ader,aders
walrus,walrussen
ventiel,ventielen
ventilatiesysteem,ventilatiesystemen
adem,adems
onneembaar,onneembaarder
geruim,geruimere
geruim,geruimer
stoken,gestookt
stoken,stook
stoken,stokend
stoken,stookt
stoken,stookte
stoken,stookten
golfen|golven,golft
volzin,volzinnen
creatie,creaties
rieken|ruiken,geroken
kengetal,kengetallen
zondaar,zondaars
zondaar,zondaren
rapen,rapend
rapen,raapte
rapen,raapten
rapen,rapende
rapen,geraapt
rapen,raapt
gireren,gireert
gireren,gegireerd
gireren,gireer
gireren,gireerde
gireren,gireerden
worstelen,worstelde
worstelen,worstelend
worstelen,worstel
worstelen,geworsteld
worstelen,worstelt
worstelen,worstelden
flauwerik,flauwerikken
flauwerik,flauweriken
gesuikerd,gesuikerder
schaafwond|schaafwonde,schaafwonden
verzoenen,verzoen
verzoenen,verzoenden
verzoenen,verzoent
verzoenen,verzoend
singulier,singulierste
singulier,singulierder
premieheffing,premieheffingen
uitvaartdienst,uitvaartdiensten
rotje,rotjes
zonde,zondetjes
zonde,zondetje
zonde,zondes
thesaurus,thesauri
autodiefstal,autodiefstallen
onderbelicht,onderbelichter
koopsom,koopsommen
katterig,katteriger
duel,duellen
duel,duels
hereboer,hereboeren
kantoorruimte,kantoorruimtes
kantoorruimte,kantoorruimten
Yaren,yaren
stiefvader,stiefvaders
stiekem,stiekempjes
verdragspartij,verdragspartijen
Lelystatter,lelystatter
Lelystatter,lelystatters
halveren,halveerden
halveren,halveerde
halveren,gehalveerd
halveren,halveert
halveren,halveer
halveren,halverend
bijvak,bijvakken
peluw,peluws
peluw,peluwen
brandtrap,brandtrappen
duet,duetten
kaantje,kaantjes
nieuwlichter,nieuwlichters
verkoudheid,verkoudheden
discriminatie,discriminaties
herschrijven,herschrijvend
herschrijven,herschreven
herschrijven,herschrijft
herschrijven,herschreef
herschrijven,herschrijf
atletiekwedstrijd,atletiekwedstrijden
proefdruk,proefdrukken
Faeröerder,faeröerders
Faeröerder,faeröerder
binnenvaartschip,binnenvaartschepen
tanen,taande
tanen,taanden
tanen,taan
tanen,tanend
tanen,taant
murmelen,gemurmeld
murmelen,murmelt
murmelen,murmel
murmelen,murmelend
murmelen,murmelde
murmelen,murmelden
uitstrekken,uitstrekte
uitstrekken,uitstrekkend
uitstrekken,uitstrekt
uitstrekken,uitstrek
uitstrekken,uitstrekten
wankelmoedig,wankelmoediger
logeerbed,logeerbedden
polisvoorwaarde,polisvoorwaarden
aanleunen,aanleunt
aanleunen,aanleunend
aanleunen,aangeleund
aanleunen,aanleunden
aanleunen,aanleunde
aanleunen,aanleun
Staten-Generaal,staten-generaal
lutheraan,lutheranen
speeltuin,speeltuinen
verbondenheid,verbondenheden
Kretenzisch,kretenzisch
sprookjesachtig,sprookjesachtigere
sprookjesachtig,sprookjesachtigste
sprookjesachtig,sprookjesachtiger
intens,intenst
intens,intenser
Zoetermeerse,zoetermeersen
Zoetermeerse,zoetermeerse
exportmarkt,exportmarkten
pekelzonde,pekelzonden
schuimpje,schuimpjes
vettig,vettigere
vettig,vettigst
vettig,vettiger
brillenglas,brillenglazen
excuseren,geëxcuseerde
excuseren,excuseert
excuseren,geëxcuseerd
excuseren,excuserend
excuseren,excuseerde
excuseren,excuseer
excuseren,excuseerden
patoloog,patologen
slenk,slenken
Sudanese,sudanesen
Sudanese,sudanese
Nouakchott,nouakchott
aanpappen,aanpapte
aanpappen,aanpapt
aanpappen,aanpapten
aanpappen,aanpappend
aanpappen,aangepapt
aanpappen,aanpap
terreinwinst,terreinwinsten
gedrocht,gedrochten
Kirgizische,kirgizische
pover,poverdere
pover,poverder
pover,povertjes
tuinstoel,tuinstoelen
VUT-regeling,vut-regeling
legaat,legaten
calculatie,calculaties
finnjol,finnjollen
opdraaien,opdraait
opdraaien,opdraaiden
opdraaien,opgedraaid
opdraaien,opdraaide
opdraaien,opdraai
opdraaien,opdraaiend
opdraaien,opdraaiende
verslaven,verslaaf
verslaven,verslaaft
verzieken,verziekt
verzieken,verziek
verzieken,verziekend
verzieken,verziekten
aankoeken,aankoekte
aankoeken,aankoekt
aankoeken,aankoekend
aankoeken,aangekoekt
aankoeken,aankoekende
aankoeken,aankoek
macht,machten
ballet,balletten
transformatorhuisje,transformatorhuisjes
naamgever,naamgevers
boetiek,boetiekjes
boetiek,boetieks
boetiek,boetiekje
vuren,vuurden
vuren,vuurde
vuren,vurend
vuren,gevuurd
vuren,vuurt
wetswijziging,wetswijzigingen
pikzwart,pikzwarter
reinet|reinette,reinetten
aardmannetje,aardmannetjes
verscheping,verschepingen
ballen,balde
ballen,balden
ballen,ballend
ballen,gebald
recenseren,recenseerde
recenseren,recenseerden
recenseren,recenserend
recenseren,recenseert
recenseren,recenseer
recenseren,gerecenseerd
vertwijfeld,vertwijfelder
vertwijfeld,vertwijfeldst
vertwijfeld,vertwijfeldste
aflevering,afleveringen
krenking,krenkingen
exact,exactste
exact,exactere
